엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
홍콩,국가,시장규모,잎차,품목,시기:2024;시장규모:3.2조원
홍콩,국가,시장성장률,잎차,품목,시기:2024;연평균성장률:2.6%
홍콩,국가,수입액,HS CODE 0902.20,품목,시기:2023;수입액:446억원
홍콩,국가,주요수입국,중국,국가,시기:2023
홍콩,국가,주요수입국,대만,국가,시기:2023
홍콩,국가,주요수입국,일본,국가,시기:2023
홍콩,국가,차시장규모,차,품목,시기:2023;시장규모:8887억 원
홍콩,국가,차시장성장률,차,품목,시기:2024;연평균성장률:4.3%
홍콩,국가,뜨거운음료시장규모,뜨거운 음료,품목,시기:2023;시장규모:3.2조원
홍콩,국가,뜨거운음료시장성장률,뜨거운 음료,품목,시기:2024;연평균성장률:2.6%
홍콩,국가,잎차가격대,유리병 잎차,품목,FOB:5.5-7.5달러;소비자가격:12000-15000원
홍콩,국가,허브티 인기,허브티,품목,시기:2024;특징:갈증해소,영양공급
홍콩,국가,허브차 소비트렌드,허브차,품목,시기:2024;트렌드:건강중시,전통허브차 인기
홍콩,국가,허브차 선택요인,맛,요인,시기:2024
홍콩,국가,허브차 선택요인,건강효능,요인,시기:2024
홍콩,국가,유리병 허브차 소비층,건강중시 젊은 직장인,소비층,시기:2024
홍콩,국가,유리병 허브차 가격대,FOB 5.5-7.5달러,가격대,시기:2024
홍콩,국가,허브차 포장규제,포장규제,내용,시기:2024;규제내용:안전성,환경기준 준수
홍콩,국가,비건인증 요구서류,사업자등록증,상표등록증,품질검사보고서,생산공정설명서,원재료출처목록,포장라벨샘플,서류,시기:2024
홍콩,국가,허브차 시장동향,시장동향,내용,시기:2024;특징:건강중심,허브차 인기 상승
홍콩,국가,허브차 인기제품,카모마일,로즈마리,허브차,시기:2024
홍콩,국가,허브차 소비트렌드,전통차와 허브차 병행,내용,시기:2024
홍콩,국가,허브차 소비자선호,맛,효능,인증,시기:2024
홍콩,국가,허브차 마케팅전략,브랜드 인지도,소셜미디어,오프라인 시음회,인플루언서 협업,시기:2024
홍콩,국가,허브차 소비층,젊은 직장인,소비층,시기:2024
홍콩,국가,허브차 가격경쟁력,12000-15000원,가격대,시기:2024
홍콩,국가,포장 규제,유리병 포장,내용,시기:2024
홍콩,국가,무농약·비건 인증,서류:사업자등록증,상표등록증,품질검사보고서,생산공정설명서,원재료목록,농약관리문서,포장라벨샘플,시기:2024
홍콩,국가,최근 동향,다양화,허브차 인기 상승,시기:2024
홍콩,국가,가장 인기 제품,녹차,우롱차,보이차,시기:2024
홍콩,국가,차 시장 특징,전통차와 허브차 병행,내용,시기:2024
